"Observações"	"Grupos"	"Famílias"	"Taxon Rank"	"Espécies"	"Origem"	"Categoria de Ameaça IUCN"	"Campo Vazio"	"Identificador"	"CatalogNumber"	"OtherCatalogNumbers"	"Herbário"	"GBIF ID"	"Coletor"	"No. coleta"	"Ano de coleta"	"Mês"	"Dia"	"Determinador"	"Estado"	"Município"	"Localidade"	"Latitude"	"Longitude"	"Ocorre em SP segundo Flora 2020?"	"Endemica de SP segundo Flora 2020?"	"cont.spp"	"cont.id"	"Prioritarias_conservacao"	"concat.code"
"CHECAR, ESPÉCIE NÃO OCORRE NO ESTADO DE SÃO PAULO SEGUNDO A FLORA 2020"	"Samambaias e Licófitas"	"Polypodiaceae"	"ESPECIE"	"Leucotrichum organense (Gardner) Labiak"	""	""	NA	"215986708"	"P.G.Windisch4985"	""	"Herbarium"	215986708	"P.G.  Windisch"	"0"	1987	2	11	""	"Sao Paulo"	""	"Serra do Mar (Serra da Bocaina)"	-22.833	-44.666	0	0	"1"	"1"	""	"19872110"
"CHECAR, ESPÉCIE NÃO OCORRE NO ESTADO DE SÃO PAULO SEGUNDO A FLORA 2020"	"Angiopermas"	"Solanaceae"	"ESPECIE"	"Athenaea fasciculata (Vell.) I.M.C. Rodrigues & Stehmann"	""	""	NA	"http://data.rbge.org.uk/herb/E00262009"	"E00262009"	"BGBASE:270029"	"E"	574861266	"Davis, P.H., Shepherd, G.J., Makino, H., Silvestre, M.S. & Jung, S.L."	"D 59833"	1976	8	21	""	"Sao Paulo"	""	"Serra do Mar above Ubatuba"	0	0	0	0	"18"	"1"	""	"1976821D 59833"
""	"Angiopermas"	"Begoniaceae"	"ESPECIE"	"Begonia fischeri Schrank"	"NATIVA"	""	NA	"http://data.rbge.org.uk/herb/E00143597"	"E00143597"	"BGBASE:164033"	"E"	575127526	"Davis, P.H., Shepherd, G.J., Makino, H., Silvestre, M.S. & Jung, S.L."	"D. 59800"	1976	8	21	""	"Sao Paulo"	""	"Serra do Mar above Ubatuba."	0	0	1	0	"4"	"1"	""	"1976821D. 59800"
"CHECAR, ESPÉCIE NÃO OCORRE NO ESTADO DE SÃO PAULO SEGUNDO A FLORA 2020"	"Samambaias e Licófitas"	"Lycopodiaceae"	"ESPECIE"	"Diphasiastrum thyoides (Willd.) Holub"	""	""	NA	"http://data.rbge.org.uk/herb/E00171399"	"E00171399"	"BGBASE:179090"	"E"	575335638	"Rodrigues, C.E.; Coral, D.J.;"	"1306"	1996	10	11	""	"Sao Paulo"	""	"N<fa>cleo Santa Virg<ed>nia, Parque estadual da Serra do mar, margem do rio Ipiranga"	0	0	0	0	"2"	"1"	""	"199610111306"
"DUPLICATAS COM DUAS OU MAIS DETERMINAÇÕES DISTINTAS, OU COM ALGUM PROBLEMA NO NOME, CHECAR QUAL ID CORRETA"	"Angiopermas"	"Solanaceae"	"ESPECIE"	"Solanum verticillatum S. Knapp & Stehmann"	"NATIVA"	""	NA	"4339527"	"BM001120386"	"NHMUK:ecatalogue:4339527"	"BOT"	1055711504	"G.M.P. Ferreira, C Palaria, D L. Pereira, L F. Neves"	"35"	1996	1	18	"Sandra (Sandy) Diane Knapp"	"S<e3>o Paulo"	""	"Marsilac; Parque Estadual Serra do Mar, nucleo Curucutu, trilha do mirante"	0	0	1	0	"1"	"1"	""	"199611835"
""	"Angiopermas"	"Solanaceae"	"ESPECIE"	"Solanum carautae Carvalho"	"NATIVA"	"NT"	NA	"4343015"	"BM001120444"	"NHMUK:ecatalogue:4343015"	"BOT"	1056106326	"L L. Giacomin, Tha<ed>s Elias Almeida"	"1683"	2012	1	23	"L L. Giacomin"	"S<e3>o Paulo"	""	"Parque Estadual Serra do Mar, n<fa>cleo Picinguaba, margens da BR-101, pr<f3>ximo a entrada da sede do parque, no km 9"	-23.365	-44.826944	1	0	"1"	"1"	""	"20121231683"
""	"Samambaias e Licófitas"	"Dryopteridaceae"	"ESPECIE"	"Polybotrya osmundacea Willd."	"NATIVA"	""	NA	"2320050"	"BM001055880"	"NHMUK:ecatalogue:2320050"	"BOT"	1056185066	"Mathias Wacket"	"21556"	0	0	0	"Frederico Carlos Hoehne"	"S<e3>o Paulo"	""	"Nearest Named Place: Serra do Mar"	-24.889281	-48.164472	1	0	"1"	"1"	""	"00021556"
"DUPLICATAS COM DUAS OU MAIS DETERMINAÇÕES DISTINTAS, OU COM ALGUM PROBLEMA NO NOME, CHECAR QUAL ID CORRETA"	"Samambaias e Licófitas"	"Lindsaeaceae"	"ESPECIE"	"Lindsaea botrychioides A.St.-Hil."	"NATIVA"	""	NA	"2297804"	"BM001028000"	"NHMUK:ecatalogue:2297804"	"BOT"	1056332207	"Mathias Wacket"	"1573"	0	0	0	"Karl Ulrich Kramer"	"S<e3>o Paulo"	""	"Nearest Named Place: Serra do Mar"	-24.889281	-48.164472	1	0	"1"	"1"	""	"0001573"
""	"Samambaias e Licófitas"	"Aspleniaceae"	"ESPECIE"	"Asplenium scandicinum Kaulf."	"NATIVA"	""	NA	"2395213"	"BM001072723"	"NHMUK:ecatalogue:2395213"	"BOT"	1057598519	"Per Karl Hjalmar Dus<e9>n"	"590a"	1914	6	24	"Lana da Silva Sylvestre"	"Paran<e1>"	""	"Serra do Mar"	-25.375614	-48.823256	1	0	"2"	"1"	""	"1914624590a"
""	"Samambaias e Licófitas"	"Blechnaceae"	"ESPECIE"	"Salpichlaena volubilis (Kaulf.) J.Sm."	"NATIVA"	""	NA	"BRA:UFVJM:HDJF:1318"	"1318"	""	"HDJF"	1077483094	"Sampaio, LCQMP; Garcia, RJF"	"246"	1999	7	2	"Dittrich, VAO"	"S<e3>o Paulo"	"S<e3>o Paulo"	"Parque Estadual da Serra do Mar-N<fa>cleo Curucutu. Estrada da entrada."	-24.179444	-46.795	1	0	"6"	"1"	""	"199972246"
